---
Testing convertNumbers.py with ../tests/
---

- TESTING convertNumbers.py ON: ../tests//TC0.txt
NUMBER: 128 | BINARY: 10000000 | HEXADECIMAL: 80
NUMBER: 4901564 | BINARY: 10010101100101010111100 | HEXADECIMAL: 4ACABC
NUMBER: 5094606 | BINARY: 10011011011110011001110 | HEXADECIMAL: 4DBCCE
NUMBER: 8070285 | BINARY: 11110110010010010001101 | HEXADECIMAL: 7B248D
NUMBER: 6847905 | BINARY: 11010000111110110100001 | HEXADECIMAL: 687DA1
NUMBER: 4311824 | BINARY: 10000011100101100010000 | HEXADECIMAL: 41CB10
NUMBER: 3009421 | BINARY: 1011011110101110001101 | HEXADECIMAL: 2DEB8D
NUMBER: 1629105 | BINARY: 110001101101110110001 | HEXADECIMAL: 18DBB1
NUMBER: 8431899 | BINARY: 100000001010100100011011 | HEXADECIMAL: 80A91B
NUMBER: 7582456 | BINARY: 11100111011001011111000 | HEXADECIMAL: 73B2F8
NUMBER: 7332147 | BINARY: 11011111110000100110011 | HEXADECIMAL: 6FE133
NUMBER: 314183 | BINARY: 1001100101101000111 | HEXADECIMAL: 4CB47
NUMBER: 7632568 | BINARY: 11101000111011010111000 | HEXADECIMAL: 7476B8
NUMBER: 8161327 | BINARY: 11111001000100000101111 | HEXADECIMAL: 7C882F
NUMBER: 6961087 | BINARY: 11010100011011110111111 | HEXADECIMAL: 6A37BF
NUMBER: 6898282 | BINARY: 11010010100001001101010 | HEXADECIMAL: 69426A
NUMBER: 9749303 | BINARY: 100101001100001100110111 | HEXADECIMAL: 94C337
NUMBER: 4427419 | BINARY: 10000111000111010011011 | HEXADECIMAL: 438E9B
NUMBER: 4368829 | BINARY: 10000101010100110111101 | HEXADECIMAL: 42A9BD
NUMBER: 6439318 | BINARY: 11000100100000110010110 | HEXADECIMAL: 624196
NUMBER: 6473603 | BINARY: 11000101100011110000011 | HEXADECIMAL: 62C783
NUMBER: 6446249 | BINARY: 11000100101110010101001 | HEXADECIMAL: 625CA9
NUMBER: 9818836 | BINARY: 100101011101001011010100 | HEXADECIMAL: 95D2D4
NUMBER: 9438069 | BINARY: 100100000000001101110101 | HEXADECIMAL: 900375
NUMBER: 2809499 | BINARY: 1010101101111010011011 | HEXADECIMAL: 2ADE9B
NUMBER: 3460304 | BINARY: 1101001100110011010000 | HEXADECIMAL: 34CCD0
NUMBER: 8430904 | BINARY: 100000001010010100111000 | HEXADECIMAL: 80A538
NUMBER: 9774785 | BINARY: 100101010010011011000001 | HEXADECIMAL: 9526C1
NUMBER: 9560603 | BINARY: 100100011110001000011011 | HEXADECIMAL: 91E21B
NUMBER: 3440732 | BINARY: 1101001000000001011100 | HEXADECIMAL: 34805C
NUMBER: 7053263 | BINARY: 11010111001111111001111 | HEXADECIMAL: 6B9FCF
NUMBER: 287398 | BINARY: 1000110001010100110 | HEXADECIMAL: 462A6
NUMBER: 4043644 | BINARY: 1111011011001101111100 | HEXADECIMAL: 3DB37C
NUMBER: 2943820 | BINARY: 1011001110101101001100 | HEXADECIMAL: 2CEB4C
NUMBER: 9030962 | BINARY: 100010011100110100110010 | HEXADECIMAL: 89CD32
NUMBER: 7537540 | BINARY: 11100110000001110000100 | HEXADECIMAL: 730384
NUMBER: 7203657 | BINARY: 11011011110101101001001 | HEXADECIMAL: 6DEB49
NUMBER: 5639400 | BINARY: 10101100000110011101000 | HEXADECIMAL: 560CE8
NUMBER: 9448142 | BINARY: 100100000010101011001110 | HEXADECIMAL: 902ACE
NUMBER: 9954392 | BINARY: 100101111110010001011000 | HEXADECIMAL: 97E458
NUMBER: 2856859 | BINARY: 1010111001011110011011 | HEXADECIMAL: 2B979B
NUMBER: 1332118 | BINARY: 101000101001110010110 | HEXADECIMAL: 145396
NUMBER: 6984725 | BINARY: 11010101001010000010101 | HEXADECIMAL: 6A9415
NUMBER: 1925762 | BINARY: 111010110001010000010 | HEXADECIMAL: 1D6282
NUMBER: 2138171 | BINARY: 1000001010000000111011 | HEXADECIMAL: 20A03B
NUMBER: 347447 | BINARY: 1010100110100110111 | HEXADECIMAL: 54D37
NUMBER: 8839390 | BINARY: 100001101110000011011110 | HEXADECIMAL: 86E0DE
NUMBER: 3951652 | BINARY: 1111000100110000100100 | HEXADECIMAL: 3C4C24
NUMBER: 3755102 | BINARY: 1110010100110001011110 | HEXADECIMAL: 394C5E
NUMBER: 6867687 | BINARY: 11010001100101011100111 | HEXADECIMAL: 68CAE7
NUMBER: 4383175 | BINARY: 10000101110000111000111 | HEXADECIMAL: 42E1C7
NUMBER: 7125508 | BINARY: 11011001011101000000100 | HEXADECIMAL: 6CBA04
NUMBER: 7799732 | BINARY: 11101110000001110110100 | HEXADECIMAL: 7703B4
NUMBER: 8784156 | BINARY: 100001100000100100011100 | HEXADECIMAL: 86091C
NUMBER: 1372809 | BINARY: 101001111001010001001 | HEXADECIMAL: 14F289
NUMBER: 1327984 | BINARY: 101000100001101110000 | HEXADECIMAL: 144370
NUMBER: 9205087 | BINARY: 100011000111010101011111 | HEXADECIMAL: 8C755F
NUMBER: 6524241 | BINARY: 11000111000110101010001 | HEXADECIMAL: 638D51
NUMBER: 9316072 | BINARY: 100011100010011011101000 | HEXADECIMAL: 8E26E8
NUMBER: 127744 | BINARY: 11111001100000000 | HEXADECIMAL: 1F300
NUMBER: 8388820 | BINARY: 100000000000000011010100 | HEXADECIMAL: 8000D4
NUMBER: 6883557 | BINARY: 11010010000100011100101 | HEXADECIMAL: 6908E5
NUMBER: 2291239 | BINARY: 1000101111011000100111 | HEXADECIMAL: 22F627
NUMBER: 3101270 | BINARY: 1011110101001001010110 | HEXADECIMAL: 2F5256
NUMBER: 1382825 | BINARY: 101010001100110101001 | HEXADECIMAL: 1519A9
NUMBER: 9873376 | BINARY: 100101101010011111100000 | HEXADECIMAL: 96A7E0
NUMBER: 6873500 | BINARY: 11010001110000110011100 | HEXADECIMAL: 68E19C
NUMBER: 8185634 | BINARY: 11111001110011100100010 | HEXADECIMAL: 7CE722
NUMBER: 2464786 | BINARY: 1001011001110000010010 | HEXADECIMAL: 259C12
NUMBER: 8387154 | BINARY: 11111111111101001010010 | HEXADECIMAL: 7FFA52
NUMBER: 5581444 | BINARY: 10101010010101010000100 | HEXADECIMAL: 552A84
NUMBER: 8097911 | BINARY: 11110111001000001110111 | HEXADECIMAL: 7B9077
NUMBER: 8882527 | BINARY: 100001111000100101011111 | HEXADECIMAL: 87895F
NUMBER: 8941444 | BINARY: 100010000110111110000100 | HEXADECIMAL: 886F84
NUMBER: 4942703 | BINARY: 10010110110101101101111 | HEXADECIMAL: 4B6B6F
NUMBER: 101144 | BINARY: 11000101100011000 | HEXADECIMAL: 18B18
NUMBER: 7471180 | BINARY: 11100100000000001001100 | HEXADECIMAL: 72004C
NUMBER: 1932131 | BINARY: 111010111101101100011 | HEXADECIMAL: 1D7B63
NUMBER: 8052752 | BINARY: 11110101110000000010000 | HEXADECIMAL: 7AE010
NUMBER: 6359493 | BINARY: 11000010000100111000101 | HEXADECIMAL: 6109C5
NUMBER: 1967646 | BINARY: 111100000011000011110 | HEXADECIMAL: 1E061E
NUMBER: 6575052 | BINARY: 11001000101001111001100 | HEXADECIMAL: 6453CC
NUMBER: 2323342 | BINARY: 1000110111001110001110 | HEXADECIMAL: 23738E
NUMBER: 6735760 | BINARY: 11001101100011110010000 | HEXADECIMAL: 66C790
NUMBER: 8895858 | BINARY: 100001111011110101110010 | HEXADECIMAL: 87BD72
NUMBER: 4238091 | BINARY: 10000001010101100001011 | HEXADECIMAL: 40AB0B
NUMBER: 7093069 | BINARY: 11011000011101101001101 | HEXADECIMAL: 6C3B4D
NUMBER: 39 | BINARY: 100111 | HEXADECIMAL: 27
- Time elapsed 0.005141364999872167 seconds
---

- TESTING convertNumbers.py ON: ../tests//TC3.txt
NUMBER: -39 | BINARY: -100111 | HEXADECIMAL: -27
NUMBER: -36 | BINARY: -100100 | HEXADECIMAL: -24
NUMBER: 8 | BINARY: 1000 | HEXADECIMAL: 8
NUMBER: 34 | BINARY: 100010 | HEXADECIMAL: 22
NUMBER: 17 | BINARY: 10001 | HEXADECIMAL: 11
NUMBER: 49 | BINARY: 110001 | HEXADECIMAL: 31
NUMBER: 5 | BINARY: 101 | HEXADECIMAL: 5
NUMBER: 39 | BINARY: 100111 | HEXADECIMAL: 27
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: -6 | BINARY: -110 | HEXADECIMAL: -6
NUMBER: 27 | BINARY: 11011 | HEXADECIMAL: 1B
NUMBER: -4 | BINARY: -100 | HEXADECIMAL: -4
NUMBER: -38 | BINARY: -100110 | HEXADECIMAL: -26
NUMBER: 26 | BINARY: 11010 | HEXADECIMAL: 1A
NUMBER: 49 | BINARY: 110001 | HEXADECIMAL: 31
NUMBER: 29 | BINARY: 11101 | HEXADECIMAL: 1D
NUMBER: 42 | BINARY: 101010 | HEXADECIMAL: 2A
NUMBER: -16 | BINARY: -10000 | HEXADECIMAL: -10
NUMBER: -28 | BINARY: -11100 | HEXADECIMAL: -1C
NUMBER: 34 | BINARY: 100010 | HEXADECIMAL: 22
NUMBER: 20 | BINARY: 10100 | HEXADECIMAL: 14
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: 25 | BINARY: 11001 | HEXADECIMAL: 19
NUMBER: 45 | BINARY: 101101 | HEXADECIMAL: 2D
NUMBER: 3 | BINARY: 11 | HEXADECIMAL: 3
NUMBER: -46 | BINARY: -101110 | HEXADECIMAL: -2E
NUMBER: -46 | BINARY: -101110 | HEXADECIMAL: -2E
NUMBER: 29 | BINARY: 11101 | HEXADECIMAL: 1D
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: 29 | BINARY: 11101 | HEXADECIMAL: 1D
NUMBER: 26 | BINARY: 11010 | HEXADECIMAL: 1A
NUMBER: -5 | BINARY: -101 | HEXADECIMAL: -5
NUMBER: -36 | BINARY: -100100 | HEXADECIMAL: -24
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: 45 | BINARY: 101101 | HEXADECIMAL: 2D
NUMBER: -50 | BINARY: -110010 | HEXADECIMAL: -32
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: -6 | BINARY: -110 | HEXADECIMAL: -6
NUMBER: -39 | BINARY: -100111 | HEXADECIMAL: -27
NUMBER: 35 | BINARY: 100011 | HEXADECIMAL: 23
NUMBER: 26 | BINARY: 11010 | HEXADECIMAL: 1A
NUMBER: -35 | BINARY: -100011 | HEXADECIMAL: -23
NUMBER: -42 | BINARY: -101010 | HEXADECIMAL: -2A
NUMBER: 14 | BINARY: 1110 | HEXADECIMAL: E
NUMBER: -3 | BINARY: -11 | HEXADECIMAL: -3
NUMBER: 22 | BINARY: 10110 | HEXADECIMAL: 16
NUMBER: -47 | BINARY: -101111 | HEXADECIMAL: -2F
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: -17 | BINARY: -10001 | HEXADECIMAL: -11
NUMBER: -31 | BINARY: -11111 | HEXADECIMAL: -1F
NUMBER: -25 | BINARY: -11001 | HEXADECIMAL: -19
NUMBER: -35 | BINARY: -100011 | HEXADECIMAL: -23
NUMBER: -18 | BINARY: -10010 | HEXADECIMAL: -12
NUMBER: 14 | BINARY: 1110 | HEXADECIMAL: E
NUMBER: 37 | BINARY: 100101 | HEXADECIMAL: 25
NUMBER: -8 | BINARY: -1000 | HEXADECIMAL: -8
NUMBER: -41 | BINARY: -101001 | HEXADECIMAL: -29
NUMBER: -50 | BINARY: -110010 | HEXADECIMAL: -32
NUMBER: -9 | BINARY: -1001 | HEXADECIMAL: -9
NUMBER: 2 | BINARY: 10 | HEXADECIMAL: 2
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: -39 | BINARY: -100111 | HEXADECIMAL: -27
NUMBER: -17 | BINARY: -10001 | HEXADECIMAL: -11
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: 27 | BINARY: 11011 | HEXADECIMAL: 1B
NUMBER: 28 | BINARY: 11100 | HEXADECIMAL: 1C
NUMBER: 45 | BINARY: 101101 | HEXADECIMAL: 2D
NUMBER: -44 | BINARY: -101100 | HEXADECIMAL: -2C
NUMBER: 28 | BINARY: 11100 | HEXADECIMAL: 1C
NUMBER: 35 | BINARY: 100011 | HEXADECIMAL: 23
NUMBER: -33 | BINARY: -100001 | HEXADECIMAL: -21
NUMBER: 43 | BINARY: 101011 | HEXADECIMAL: 2B
NUMBER: -4 | BINARY: -100 | HEXADECIMAL: -4
NUMBER: 23 | BINARY: 10111 | HEXADECIMAL: 17
NUMBER: -49 | BINARY: -110001 | HEXADECIMAL: -31
NUMBER: 49 | BINARY: 110001 | HEXADECIMAL: 31
NUMBER: -7 | BINARY: -111 | HEXADECIMAL: -7
NUMBER: -38 | BINARY: -100110 | HEXADECIMAL: -26
NUMBER: -45 | BINARY: -101101 | HEXADECIMAL: -2D
NUMBER: 5 | BINARY: 101 | HEXADECIMAL: 5
NUMBER: -21 | BINARY: -10101 | HEXADECIMAL: -15
NUMBER: 26 | BINARY: 11010 | HEXADECIMAL: 1A
NUMBER: -2 | BINARY: -10 | HEXADECIMAL: -2
NUMBER: -24 | BINARY: -11000 | HEXADECIMAL: -18
NUMBER: 6 | BINARY: 110 | HEXADECIMAL: 6
NUMBER: -45 | BINARY: -101101 | HEXADECIMAL: -2D
NUMBER: -4 | BINARY: -100 | HEXADECIMAL: -4
NUMBER: 15 | BINARY: 1111 | HEXADECIMAL: F
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: -17 | BINARY: -10001 | HEXADECIMAL: -11
NUMBER: -35 | BINARY: -100011 | HEXADECIMAL: -23
NUMBER: 43 | BINARY: 101011 | HEXADECIMAL: 2B
NUMBER: 45 | BINARY: 101101 | HEXADECIMAL: 2D
NUMBER: -35 | BINARY: -100011 | HEXADECIMAL: -23
NUMBER: -8 | BINARY: -1000 | HEXADECIMAL: -8
NUMBER: 28 | BINARY: 11100 | HEXADECIMAL: 1C
NUMBER: 47 | BINARY: 101111 | HEXADECIMAL: 2F
NUMBER: 34 | BINARY: 100010 | HEXADECIMAL: 22
NUMBER: -24 | BINARY: -11000 | HEXADECIMAL: -18
NUMBER: -42 | BINARY: -101010 | HEXADECIMAL: -2A
NUMBER: -13 | BINARY: -1101 | HEXADECIMAL: -D
NUMBER: 14 | BINARY: 1110 | HEXADECIMAL: E
NUMBER: -45 | BINARY: -101101 | HEXADECIMAL: -2D
NUMBER: -35 | BINARY: -100011 | HEXADECIMAL: -23
NUMBER: 27 | BINARY: 11011 | HEXADECIMAL: 1B
NUMBER: -12 | BINARY: -1100 | HEXADECIMAL: -C
NUMBER: -19 | BINARY: -10011 | HEXADECIMAL: -13
NUMBER: -20 | BINARY: -10100 | HEXADECIMAL: -14
NUMBER: -14 | BINARY: -1110 | HEXADECIMAL: -E
NUMBER: 20 | BINARY: 10100 | HEXADECIMAL: 14
NUMBER: 30 | BINARY: 11110 | HEXADECIMAL: 1E
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: -36 | BINARY: -100100 | HEXADECIMAL: -24
NUMBER: -47 | BINARY: -101111 | HEXADECIMAL: -2F
NUMBER: -27 | BINARY: -11011 | HEXADECIMAL: -1B
NUMBER: -3 | BINARY: -11 | HEXADECIMAL: -3
NUMBER: 6 | BINARY: 110 | HEXADECIMAL: 6
NUMBER: 36 | BINARY: 100100 | HEXADECIMAL: 24
NUMBER: 9 | BINARY: 1001 | HEXADECIMAL: 9
NUMBER: -16 | BINARY: -10000 | HEXADECIMAL: -10
NUMBER: 36 | BINARY: 100100 | HEXADECIMAL: 24
NUMBER: -27 | BINARY: -11011 | HEXADECIMAL: -1B
NUMBER: 7 | BINARY: 111 | HEXADECIMAL: 7
NUMBER: -6 | BINARY: -110 | HEXADECIMAL: -6
NUMBER: -5 | BINARY: -101 | HEXADECIMAL: -5
NUMBER: 5 | BINARY: 101 | HEXADECIMAL: 5
NUMBER: 47 | BINARY: 101111 | HEXADECIMAL: 2F
NUMBER: 23 | BINARY: 10111 | HEXADECIMAL: 17
NUMBER: -48 | BINARY: -110000 | HEXADECIMAL: -30
NUMBER: -24 | BINARY: -11000 | HEXADECIMAL: -18
NUMBER: 40 | BINARY: 101000 | HEXADECIMAL: 28
NUMBER: -4 | BINARY: -100 | HEXADECIMAL: -4
NUMBER: -18 | BINARY: -10010 | HEXADECIMAL: -12
NUMBER: -19 | BINARY: -10011 | HEXADECIMAL: -13
NUMBER: 14 | BINARY: 1110 | HEXADECIMAL: E
NUMBER: 15 | BINARY: 1111 | HEXADECIMAL: F
NUMBER: 1 | BINARY: 1 | HEXADECIMAL: 1
NUMBER: 24 | BINARY: 11000 | HEXADECIMAL: 18
NUMBER: -9 | BINARY: -1001 | HEXADECIMAL: -9
NUMBER: -50 | BINARY: -110010 | HEXADECIMAL: -32
NUMBER: 18 | BINARY: 10010 | HEXADECIMAL: 12
NUMBER: 15 | BINARY: 1111 | HEXADECIMAL: F
NUMBER: 30 | BINARY: 11110 | HEXADECIMAL: 1E
NUMBER: 44 | BINARY: 101100 | HEXADECIMAL: 2C
NUMBER: 9 | BINARY: 1001 | HEXADECIMAL: 9
NUMBER: 19 | BINARY: 10011 | HEXADECIMAL: 13
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: 41 | BINARY: 101001 | HEXADECIMAL: 29
NUMBER: -24 | BINARY: -11000 | HEXADECIMAL: -18
NUMBER: 43 | BINARY: 101011 | HEXADECIMAL: 2B
NUMBER: 48 | BINARY: 110000 | HEXADECIMAL: 30
NUMBER: -23 | BINARY: -10111 | HEXADECIMAL: -17
NUMBER: 7 | BINARY: 111 | HEXADECIMAL: 7
NUMBER: 28 | BINARY: 11100 | HEXADECIMAL: 1C
NUMBER: 8 | BINARY: 1000 | HEXADECIMAL: 8
NUMBER: -2 | BINARY: -10 | HEXADECIMAL: -2
NUMBER: 37 | BINARY: 100101 | HEXADECIMAL: 25
NUMBER: 42 | BINARY: 101010 | HEXADECIMAL: 2A
NUMBER: -17 | BINARY: -10001 | HEXADECIMAL: -11
NUMBER: -6 | BINARY: -110 | HEXADECIMAL: -6
NUMBER: 36 | BINARY: 100100 | HEXADECIMAL: 24
NUMBER: 22 | BINARY: 10110 | HEXADECIMAL: 16
NUMBER: 27 | BINARY: 11011 | HEXADECIMAL: 1B
NUMBER: 31 | BINARY: 11111 | HEXADECIMAL: 1F
NUMBER: -47 | BINARY: -101111 | HEXADECIMAL: -2F
NUMBER: -43 | BINARY: -101011 | HEXADECIMAL: -2B
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: 27 | BINARY: 11011 | HEXADECIMAL: 1B
NUMBER: 30 | BINARY: 11110 | HEXADECIMAL: 1E
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: -15 | BINARY: -1111 | HEXADECIMAL: -F
NUMBER: -19 | BINARY: -10011 | HEXADECIMAL: -13
NUMBER: -42 | BINARY: -101010 | HEXADECIMAL: -2A
NUMBER: -37 | BINARY: -100101 | HEXADECIMAL: -25
NUMBER: 31 | BINARY: 11111 | HEXADECIMAL: 1F
NUMBER: -10 | BINARY: -1010 | HEXADECIMAL: -A
NUMBER: 18 | BINARY: 10010 | HEXADECIMAL: 12
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: -15 | BINARY: -1111 | HEXADECIMAL: -F
NUMBER: 17 | BINARY: 10001 | HEXADECIMAL: 11
NUMBER: 25 | BINARY: 11001 | HEXADECIMAL: 19
NUMBER: -25 | BINARY: -11001 | HEXADECIMAL: -19
NUMBER: -5 | BINARY: -101 | HEXADECIMAL: -5
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: -13 | BINARY: -1101 | HEXADECIMAL: -D
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: -10 | BINARY: -1010 | HEXADECIMAL: -A
NUMBER: 47 | BINARY: 101111 | HEXADECIMAL: 2F
NUMBER: 47 | BINARY: 101111 | HEXADECIMAL: 2F
NUMBER: -13 | BINARY: -1101 | HEXADECIMAL: -D
NUMBER: -32 | BINARY: -100000 | HEXADECIMAL: -20
NUMBER: 1 | BINARY: 1 | HEXADECIMAL: 1
NUMBER: 1 | BINARY: 1 | HEXADECIMAL: 1
NUMBER: -25 | BINARY: -11001 | HEXADECIMAL: -19
NUMBER: -33 | BINARY: -100001 | HEXADECIMAL: -21
NUMBER: 16 | BINARY: 10000 | HEXADECIMAL: 10
NUMBER: 17 | BINARY: 10001 | HEXADECIMAL: 11
NUMBER: 4 | BINARY: 100 | HEXADECIMAL: 4
- Time elapsed 0.004998504999093711 seconds
---

- TESTING convertNumbers.py ON: ../tests//TC4.txt
invalid literal for int() with base 10: 'ABC'
invalid literal for int() with base 10: 'ERR'
invalid literal for int() with base 10: 'VAL'
NUMBER: -39 | BINARY: -100111 | HEXADECIMAL: -27
NUMBER: -36 | BINARY: -100100 | HEXADECIMAL: -24
NUMBER: 8 | BINARY: 1000 | HEXADECIMAL: 8
NUMBER: 34 | BINARY: 100010 | HEXADECIMAL: 22
NUMBER: 17 | BINARY: 10001 | HEXADECIMAL: 11
NUMBER: 49 | BINARY: 110001 | HEXADECIMAL: 31
NUMBER: 5 | BINARY: 101 | HEXADECIMAL: 5
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: -6 | BINARY: -110 | HEXADECIMAL: -6
NUMBER: 27 | BINARY: 11011 | HEXADECIMAL: 1B
NUMBER: -4 | BINARY: -100 | HEXADECIMAL: -4
NUMBER: -38 | BINARY: -100110 | HEXADECIMAL: -26
NUMBER: 26 | BINARY: 11010 | HEXADECIMAL: 1A
NUMBER: 49 | BINARY: 110001 | HEXADECIMAL: 31
NUMBER: 29 | BINARY: 11101 | HEXADECIMAL: 1D
NUMBER: 42 | BINARY: 101010 | HEXADECIMAL: 2A
NUMBER: -16 | BINARY: -10000 | HEXADECIMAL: -10
NUMBER: 34 | BINARY: 100010 | HEXADECIMAL: 22
NUMBER: 20 | BINARY: 10100 | HEXADECIMAL: 14
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: 25 | BINARY: 11001 | HEXADECIMAL: 19
NUMBER: 45 | BINARY: 101101 | HEXADECIMAL: 2D
NUMBER: 3 | BINARY: 11 | HEXADECIMAL: 3
NUMBER: -46 | BINARY: -101110 | HEXADECIMAL: -2E
NUMBER: -46 | BINARY: -101110 | HEXADECIMAL: -2E
NUMBER: 29 | BINARY: 11101 | HEXADECIMAL: 1D
NUMBER: 33 | BINARY: 100001 | HEXADECIMAL: 21
NUMBER: 29 | BINARY: 11101 | HEXADECIMAL: 1D
NUMBER: 26 | BINARY: 11010 | HEXADECIMAL: 1A
NUMBER: -5 | BINARY: -101 | HEXADECIMAL: -5
NUMBER: -36 | BINARY: -100100 | HEXADECIMAL: -24
NUMBER: 12 | BINARY: 1100 | HEXADECIMAL: C
NUMBER: 45 | BINARY: 101101 | HEXADECIMAL: 2D
NUMBER: -50 | BINARY: -110010 | HEXADECIMAL: -32
NUMBER: 0 | BINARY: 0 | HEXADECIMAL: 0
NUMBER: -6 | BINARY: -110 | HEXADECIMAL: -6
- Time elapsed 0.004414294999151025 seconds
---

